(1, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') ==> ', 99.99059363602636, '%')
(2, '==> ', 'http://www.nwzonline.de/musik/neil-young-wird-firmenchef-bei-musik-startup_a_16%2C0%2C1973461063.html', '( doc.', 'http://www.nwzonline.de/musik/neil-young-wird-firmenchef-bei-musik-startup_a_16%2C0%2C1973461063.html', ') & ', 'http://www.nwzonline.de/digitale-welt/neil-young-wird-firmenchef-bei-musik-startup_a_16%2C0%2C1973460875.html', '( doc.', 'http://www.nwzonline.de/digitale-welt/neil-young-wird-firmenchef-bei-musik-startup_a_16%2C0%2C1973460875.html', ') ==> ', 99.98992915981098, '%')
(3, '==> ', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', '( doc.', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', ') & ', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', '( doc.', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', ') ==> ', 99.9822396879404, '%')
(4, '==> ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') & ', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') ==> ', 99.98170075909869, '%')
(5, '==> ', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', '( doc.', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', ') & ', 'http://www.bradenton.com/2015/05/28/5821555/visa-becomes-first-fifa-sponsor.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/28/5821555/visa-becomes-first-fifa-sponsor.html#storylink%3Drss', ') ==> ', 99.97839388377871, '%')
(6, '==> ', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', '( doc.', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', ') & ', 'http://www.timesunion.com/sports/article/Visa-becomes-first-FIFA-sponsor-to-warn-it-could-6291267.php', '( doc.', 'http://www.timesunion.com/sports/article/Visa-becomes-first-FIFA-sponsor-to-warn-it-could-6291267.php', ') ==> ', 99.97818779537407, '%')
(7, '==> ', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', ') & ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') ==> ', 99.97682614733266, '%')
(8, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', '( doc.', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', ') ==> ', 99.97420477340853, '%')
(9, '==> ', 'http://www.foxbusiness.com/industries/2015/05/28/visa-threatens-to-ditch-fifa-as-sponsor-dismay-mounts/', '( doc.', 'http://www.foxbusiness.com/industries/2015/05/28/visa-threatens-to-ditch-fifa-as-sponsor-dismay-mounts/', ') & ', 'http://www.thestar.com.my/News/World/2015/05/28/Football-sponsors-dismayed-by-corruption-allegations-at-FIFA/', '( doc.', 'http://www.thestar.com.my/News/World/2015/05/28/Football-sponsors-dismayed-by-corruption-allegations-at-FIFA/', ') ==> ', 99.97358753531438, '%')
(10, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', '( doc.', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', ') ==> ', 99.9733895896991, '%')
(11, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', '( doc.', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', ') ==> ', 99.96626328179103, '%')
(12, '==> ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') & ', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', '( doc.', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', ') ==> ', 99.96427039009615, '%')
(13, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.96154259082793, '%')
(14, '==> ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') & ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') ==> ', 99.96130893126238, '%')
