(1, '==> ', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', '( doc.', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', ') & ', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', '( doc.', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', ') ==> ', 95.24566244815948, '%')
(2, '==> ', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', '( doc.', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', ') & ', 'https://elpais.com/elpais/2018/01/23/buenavida/1516712720_277044.html', '( doc.', 'https://elpais.com/elpais/2018/01/23/buenavida/1516712720_277044.html', ') ==> ', 94.92819456637062, '%')
(3, '==> ', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', ') & ', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', ') ==> ', 94.76959598709041, '%')
(4, '==> ', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', ') & ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') ==> ', 94.22563512989774, '%')
(5, '==> ', 'https://elpais.com/elpais/2017/08/22/buenavida/1503393268_849698.html', '( doc.', 'https://elpais.com/elpais/2017/08/22/buenavida/1503393268_849698.html', ') & ', 'https://elpais.com/elpais/2015/11/20/icon/1448013257_698725.html', '( doc.', 'https://elpais.com/elpais/2015/11/20/icon/1448013257_698725.html', ') ==> ', 94.20843987925332, '%')
(6, '==> ', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', '( doc.', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', ') & ', 'https://elpais.com/elpais/2019/02/07/inenglish/1549556881_820642.html', '( doc.', 'https://elpais.com/elpais/2019/02/07/inenglish/1549556881_820642.html', ') ==> ', 94.00111985999922, '%')
(7, '==> ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') & ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') ==> ', 93.84840406657202, '%')
(8, '==> ', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', ') & ', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', '( doc.', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', ') ==> ', 93.76914398214807, '%')
(9, '==> ', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', '( doc.', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', ') & ', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', '( doc.', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', ') ==> ', 93.65925141293002, '%')
(10, '==> ', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', ') & ', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', ') ==> ', 93.59032382074764, '%')
(11, '==> ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') & ', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', ') ==> ', 93.57701168618568, '%')
